file,name,n,m,density,is_dag,graph_type,scc_count,avg_scc_size,max_scc_size,scc_sizes,topo_len_components,topo_len_vertices,topo_order_vertices,src_comp,short_reachable_components,short_path_components,short_path_vertices,long_max_distance,long_path_components,long_path_vertices,scc_time_ns,topo_time_ns,short_time_ns,long_time_ns,scc_dfs_calls,scc_edges_scanned,topo_nodes,topo_edges,topo_pops,short_relax,short_updated,long_relax,long_updated
medium_results.json,medium_12_dense,12,14,0.106061,true,DAG,12,1.000000,1,1|1|1|1|1|1|1|1|1|1|1|1,12,12,0;1;2;4;3;5;7;6;8;10;9;11,11,12,11,0,9,11->10->9->8->7,0->2->5->8->11,11500,7800,4500,3700,12,14,12,14,12,14,13,14,12
medium_results.json,medium_15_sparse,15,7,0.033333,true,DAG,15,1.000000,1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15,15,0;2;4;6;8;10;12;14;1;3;5;7;9;11;13,1,2,1,0,2,1->0,0->1,10000,7600,2800,2800,15,7,15,7,15,1,1,1,1
medium_results.json,medium_15_medium,15,14,0.066667,false,Cyclic,11,1.363636,3,3|3|1|1|1|1|1|1|1|1|1,11,15,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,10,9,10,6,14,10->9->8->7->6->5->4->3->2,6->7->8->9->10->11->12->13->14,24300,6500,3800,2900,15,14,11,8,11,8,8,8,8
medium_results.json,medium_15_dense,15,15,0.071429,true,DAG,15,1.000000,1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15,15,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,14,15,14,0,14,14->6->5->4->3->2->1->0,0->1->3->5->7->9->11->13,12300,10700,4800,4100,15,15,15,15,15,15,14,15,15
medium_results.json,medium_18_sparse,18,9,0.029412,true,DAG,18,1.000000,1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,18,18,0;2;4;6;8;10;12;14;16;1;3;5;7;9;11;13;15;17,1,2,1,0,2,1->0,0->1,15100,8900,2900,2400,18,9,18,9,18,1,1,1,1
medium_results.json,medium_18_medium,18,17,0.055556,false,Cyclic,14,1.285714,3,3|3|1|1|1|1|1|1|1|1|1|1|1|1,14,18,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,13,12,13,6,22,13->12->11->10->9->8->7->6->5->4->3->2,6->7->8->9->10->11->12->13->14->15->16->17,15800,8100,4200,3500,18,17,14,11,14,11,11,11,11
medium_results.json,medium_18_dense,18,19,0.062092,true,DAG,18,1.000000,1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,18,18,0;2;1;4;3;6;5;8;7;10;9;12;11;14;13;16;15;17,17,18,17,0,17,17->8->7->6->5->4->3->2->1->0,0->1->3->5->7->9->11->13->15->17,13500,10000,5500,4700,18,19,18,19,18,19,17,19,19
small_results.json,small_6_sparse,6,3,0.100000,true,DAG,6,1.000000,1,1|1|1|1|1|1,6,6,0;2;4;1;3;5,1,2,1,0,2,1->0,0->1,63800,33700,12100,2900,6,3,6,3,6,1,1,1,1
small_results.json,small_6_medium,6,5,0.166667,false,Cyclic,4,1.500000,3,3|1|1|1,4,6,0;1;2;3;4;5,0,1,0,0,0,0,0,11900,3500,1500,2400,6,5,4,2,4,0,0,0,0
small_results.json,small_6_dense,6,9,0.300000,false,Cyclic,1,6.000000,6,6,1,6,0;1;2;3;4;5,0,1,0,0,0,0,0,7900,1700,1100,600,6,9,1,0,1,0,0,0,0
small_results.json,small_8_sparse,8,5,0.089286,true,DAG,8,1.000000,1,1|1|1|1|1|1|1|1,8,8,0;3;4;1;5;2;6;7,7,4,7,4,6,7->6->5->4,4->5->6->7,123700,9600,4300,3200,8,5,8,5,8,3,3,3,3
small_results.json,small_8_medium,8,6,0.107143,false,Cyclic,6,1.333333,3,3|1|1|1|1|1,6,8,0;1;2;3;6;4;7;5,3,3,3,3,3,3->2->1,3->4->5,12300,14500,6600,2800,8,6,6,3,6,2,2,2,2
small_results.json,small_8_dense,8,11,0.196429,true,DAG,8,1.000000,1,1|1|1|1|1|1|1|1,8,8,0;1;2;4;3;5;6;7,7,8,7,0,8,7->6->2->1->0,0->2->3->6->7,15000,9200,5100,3900,8,11,8,11,8,11,7,11,10
small_results.json,small_10_sparse,10,5,0.055556,true,DAG,10,1.000000,1,1|1|1|1|1|1|1|1|1|1,10,10,0;3;5;7;8;1;4;6;9;2,2,3,2,0,3,2->1->0,0->1->2,26800,6700,3000,2000,10,5,10,5,10,2,2,2,2
small_results.json,small_10_medium,10,9,0.100000,false,Cyclic,6,1.666667,3,3|3|1|1|1|1,6,10,0;1;2;3;4;5;6;7;8;9,0,1,0,0,0,0,0,14300,4200,1800,1400,10,9,6,3,6,0,0,0,0
small_results.json,small_10_dense,10,11,0.122222,true,DAG,10,1.000000,1,1|1|1|1|1|1|1|1|1|1,10,10,0;1;3;4;2;5;7;8;6;9,9,10,9,0,7,9->2->1->0,0->2->6->9,13100,7200,4000,3000,10,11,10,11,10,11,9,11,10
